m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
java.applet.Applet	0.36589202	-0.6780178	0.26177898	0.5066351	0.118453234	-0.005386937	0.23859668	-0.06033957	-0.41268605	-0.460081	0.6238326	-0.81921405	0.3387362	0.039689757	0.7193304	0.005669101	0.06454015	0.53113896	0.23516569	-0.49990463	0.3796115	0.53400695	0.16488811	0.6228853	0.040203787	0.016225092	-0.5874502	-0.08236588	-0.11160058	-0.12753478	0.3831695	-0.43689296	1
java.applet.AppletContext	0.6137897	-0.38578054	0.113591574	0.3734976	0.80197906	-0.45398176	0.21814011	0.23683527	-0.45270416	-0.39740488	1.3992152	-0.12972592	0.64009535	-0.117441915	0.51863194	-0.41417852	-0.27873686	0.4967211	0.06487513	-0.61951655	0.23715135	0.18002245	0.2249962	0.4485575	0.04103685	-0.51351035	-0.111143686	0.10582434	-0.18375386	-0.51978534	-0.16103747	-1.0446923	1
java.applet.AppletStub	0.72596294	-0.31331578	0.237455	0.42093474	0.48604554	0.004073278	0.53631824	0.18301463	-0.5623486	-0.41993695	1.0757327	0.14018951	0.7580838	0.025884956	0.47733316	-0.10820373	-0.172324	0.62077755	0.36814675	-0.8799328	0.0014067235	0.52914226	0.05136362	0.3124775	-0.17185147	-0.38260502	-0.36427876	0.38561258	-0.16474275	-0.35411587	0.06960802	-0.8259593	1
java.applet.AudioClip	0.84026647	-0.46631575	0.46800157	0.4336565	0.8123695	-0.44234607	0.33043796	0.26183775	-0.46375805	-0.61807823	1.3904974	-0.2614003	0.55862504	-0.006395388	1.0092872	-0.15000898	-0.23492678	0.8425861	0.15992966	-0.35553503	0.37619606	0.29429442	0.1412365	0.5784494	0.10613101	-0.4722604	-0.30946252	0.02924463	0.01586581	-0.49710426	-0.17530824	-1.1684754	1
java.awt.AWTError	-0.14540407	-0.5109048	-0.10744553	0.19068784	0.03011098	-0.41212544	0.9706376	-0.2703931	0.12620491	0.14230111	0.013899838	-0.104236364	0.15698346	-0.25836468	-0.009736749	-0.27462608	-0.46872374	0.23493558	0.21494158	-0.09426413	-0.06186897	0.4532489	0.43443197	-0.18313034	0.25491682	-0.52870893	-0.18868911	0.15164346	-0.12035572	-0.16336492	0.2531596	0.0076388177	2
java.awt.AWTEvent	0.26841646	-0.5980297	-0.039847378	-0.016521908	0.14612046	0.12631176	0.1467424	0.047491446	-0.7834	0.41737032	0.092382	-0.5073587	-0.33359998	-0.04076576	0.1543152	0.084737524	0.21547614	0.75617015	-0.25841823	-0.10487837	0.8878479	0.6443529	0.29635343	0.41721803	-0.14612326	0.69950634	-0.9678358	-0.6137302	-0.20134968	-0.4522867	-0.14130005	0.28376454	2
java.awt.AWTEventMulticaster	-0.2553196	-0.72448325	-0.4709948	0.258139	-0.16120873	-0.047146462	0.6049746	0.347414	-0.36590093	-0.15233788	0.6918346	-0.66510785	0.29114738	0.3763935	-0.36558986	0.16891561	-0.03939262	0.1300412	-0.00013713824	0.6254546	0.68212503	1.0023999	0.025260841	0.9040162	-0.42468405	0.0133402925	-1.1463108	-0.39910945	0.24968913	0.22824134	0.07068207	0.104271054	2
java.awt.AWTException	-0.2342689	-0.12820934	-0.38749668	0.16184162	0.09203245	-0.19151682	0.73770887	-0.44229293	-0.14056145	-0.11438221	0.0018311027	-0.043929253	0.14172766	-0.06538658	0.11972525	-0.21403937	-0.6246591	0.079533614	0.089509234	-0.17501861	0.20011726	0.423219	0.5072253	-0.37831965	0.24652621	0.14988784	-0.3079027	-0.2469985	-0.05562352	-0.37853548	0.1290104	-0.16272497	2
java.awt.AWTKeyStroke	-0.41865852	-0.5466055	-0.3954245	0.2571167	0.30557176	-0.081931025	-0.47132263	-0.08517664	-0.7053401	0.22676904	0.28827062	-0.48910454	0.3154733	0.5423409	-0.1103102	0.24120833	-0.23140642	-0.1861356	0.19627734	0.36974174	0.18146291	0.46902046	0.09775419	-0.67259353	-0.07913264	0.0044809817	-0.5576256	-0.26077065	0.14556095	-0.4694985	-0.44919813	0.23553726	2
java.awt.AWTPermission	0.3030679	-0.07076803	0.3212489	0.15772866	-0.06459558	-0.093990535	0.10357641	-0.07099007	-0.23906107	0.5034794	0.15490568	0.123280615	0.20576748	0.6807216	-0.083179295	0.27631304	-1.0142753	0.26118052	-0.11303822	0.59576744	-0.14317684	0.2818414	0.42928907	-0.24233682	0.14324786	-0.22277266	-0.9118434	0.56360036	-0.046902653	-0.31965718	-0.32111186	-0.25840554	2
