m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
1	-0.07963853	-0.21348043	0.38106975	0.1622373	0.084619775	-0.25491858	0.3503903	-0.016198987	-0.07298532	0.15758988	-0.027837189	-0.08707216	0.16766153	-0.24126804	-0.40938225	0.021321073	0.04061272	0.21146432	-0.16541514	0.27201197	0.052273776	0.4329201	0.51413745	-0.11477132	0.3024837	-0.1427166	-0.10670531	0.2713435	0.05497369	-0.05682506	-0.19964033	-0.026898134	1
2	-0.28853408	0.029135173	0.6461936	-0.041937422	-0.122302316	-0.119024254	0.57247865	0.098505415	0.0034913283	0.21581021	0.13623747	0.045326132	0.036181007	-0.31916228	-0.34966764	-0.04198802	-0.14107993	0.15458497	0.018084304	0.21540587	0.11428966	0.5352567	0.40678528	-0.2671937	0.21476837	-0.16824225	-0.17882529	0.15787889	0.13674824	-0.10842919	0.040435534	0.08889538	1
3	-0.2820056	-0.27668676	0.31311968	0.17443919	-0.038596462	-0.13997968	0.32898194	0.07780497	0.05698279	0.041516356	0.17106724	-0.07431244	0.06325974	-0.21887462	-0.30153936	-0.21659084	-0.05551269	0.11064655	-0.06270324	0.16606441	0.09964824	0.35706702	0.43562838	-0.0953734	0.1964239	-0.019447636	-0.08500631	0.01283685	0.07469499	-0.15800479	-0.24168387	0.05216969	1
4	-0.28503358	-0.1413699	0.48637572	0.033990007	-0.01572544	-0.08379589	0.5077163	0.0041975537	0.039475452	0.2931014	0.027251862	-0.07327571	0.11516303	-0.20986354	-0.29197222	-0.109706916	-0.107163325	0.14987318	-0.018576689	0.14080319	0.09040169	0.51059014	0.51340455	-0.115420684	0.34083098	-0.19776419	-0.113648415	0.07584408	0.13726912	-0.15185925	-0.14669576	0.029669171	1
5	-0.107960746	-0.24426381	0.5006051	0.62150425	0.16861391	-0.49250597	0.1833988	-0.25292668	0.08996011	-0.06358659	-0.17906281	0.03440391	0.4459932	-0.39243644	-0.3218236	0.006750372	0.23614904	-0.053477276	-0.24227145	0.38768524	0.092982315	0.24492507	0.5488845	0.07597134	0.35799026	-0.0930619	-0.10805907	0.49688673	-0.013806497	0.22927512	-0.254036	0.26467285	1
6	-0.08412568	-0.21313697	0.49943188	0.6571017	0.17179693	-0.5494504	0.17094989	-0.28062913	0.06865021	-0.111988276	-0.13721883	0.024638876	0.41336852	-0.40094328	-0.31686366	0.07461809	0.2226294	-0.11587253	-0.30386236	0.42652884	0.06780081	0.2725234	0.49786526	0.049030203	0.36543208	-0.0790838	-0.13213111	0.513047	-0.06739765	0.26738584	-0.21768612	0.22233611	1
7	-0.08999389	-0.15618525	0.6004999	0.7061566	0.066881	-0.5674356	0.2770317	-0.24604155	0.015509107	-0.18740477	-0.17840968	0.050365053	0.36557323	-0.4421307	-0.27137253	0.16187723	0.30717617	-0.13254605	-0.3532653	0.5574286	0.03178251	0.2693889	0.47372133	-0.015123072	0.3864024	-0.11486217	-0.07877451	0.5465403	-0.10397127	0.28307036	-0.1295549	0.25272685	1
8	-0.30079612	-0.13493071	0.5871267	0.041002896	-0.0514713	-0.11339335	0.45147318	0.04071073	0.051993426	0.26561546	0.10363251	0.0107530095	0.0076297754	-0.2964584	-0.22863764	-0.04212428	-0.09569983	0.055132158	0.030565713	0.11800487	0.17659397	0.43180117	0.47669783	-0.06335328	0.32402536	-0.12478984	-0.22509542	0.14061904	0.14853995	-0.12680101	-0.1204574	0.097953156	1
9	-0.23502657	-0.19819927	0.42183605	0.19881663	-0.11240533	-0.15119416	0.26000088	0.10359113	-0.035594158	-0.18561612	0.098315336	-0.12608363	0.10739498	-0.24647905	-0.26552695	-0.29706746	-0.112067126	0.1151278	-0.017640078	0.2532508	0.055245638	0.32661104	0.37716588	-0.14879967	0.0417537	0.12246531	-0.05345332	0.05404471	-0.021197464	-0.24485886	-0.07699642	0.036583226	2
10	-0.3085965	-0.21158127	0.34897718	0.21351029	-0.0056966767	-0.16053566	0.27483627	0.080072984	-0.021487357	-0.058031164	0.20320909	-0.16236901	0.10541119	-0.22404136	-0.22090034	-0.24357498	-0.10818704	0.05368586	-0.035467844	0.15378049	0.08420298	0.3093997	0.422782	-0.1266258	0.091281585	0.14433682	-0.121915236	0.010767146	0.0032452513	-0.239989	-0.100329265	0.006162217	2
