m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Peter Kolbezen	-0.41690606	-0.48851714	-0.0506682	-0.8446955	0.2665816	-1.1640955	0.807795	0.5054359	-0.096314006	-0.49525163	0.8643279	0.44942012	-0.66793597	-0.14553098	-1.134689	1.0427538	0.42112172	0.010083415	-0.8742252	0.5023255	0.7518968	0.06767149	0.11957296	-0.8280783	-0.30263162	-0.5073829	0.063663095	0.197211	0.721848	-0.5535012	-0.08603515	0.71173155	0
Jernej Virant	1.2500964	0.07452825	-0.7713889	0.26690716	0.6301879	-0.73278946	1.1573343	0.32495734	-1.040434	-0.5119292	-0.33085737	0.27828166	-0.30538884	-0.40147728	0.43912736	0.8116319	-1.6160367	0.16399172	-0.3172311	0.12995209	1.8408109	0.6124125	0.5049854	-1.2614855	0.308664	-0.17195728	-0.37595502	0.2920639	0.49797615	-1.052574	-0.26460034	0.012263783	1
Vojko Strle	-0.020652995	0.028524704	-0.02157797	0.017912097	0.0265363	-0.0123606175	0.026442163	0.028406322	0.0126219615	0.029877499	0.025977194	0.01753781	0.015457839	0.005416997	-0.022713855	-0.015687764	-0.018662028	0.0081033185	0.020242892	-0.020540647	0.0025116354	-0.02506584	0.021772869	-0.023029864	0.0019791275	-0.02991131	-0.027694985	-0.01929523	-0.029937394	0.012999818	-0.0010353699	0.012920611	0
Aleksandra Kornhauser	-0.4546482	0.39572552	-0.48364747	-1.6988233	-0.1763383	0.6565031	1.8007691	0.35775676	0.04239345	-0.34041563	-0.50847936	-0.39275426	0.6049637	0.13449723	0.060542546	0.8546393	-0.6122418	0.2687733	-0.44793713	0.591104	1.2223301	0.39040634	-0.17548056	-0.00797115	0.30669057	-0.9265233	-1.3627853	0.18972026	1.2748913	-0.53965944	0.5254675	-0.58101445	0
Tomaž Banovec	-0.028408311	0.02590242	0.0027870014	0.028658293	-0.006904401	-0.026486248	-0.030877069	0.000832811	0.02502887	0.014785342	-0.014435448	-0.017857708	-0.022189833	0.023922242	0.025540732	-0.0191454	0.01408422	0.0015646815	0.0041141063	0.017643914	-0.013919279	0.0075484514	-0.023080952	0.0005416125	-0.0161011	0.008851692	-0.025407776	0.022249147	0.02342666	-0.0007622838	0.025838152	-0.028451167	0
Igor Grabec	-0.6322304	-0.08257579	-0.39769223	1.4846401	0.3575783	-1.0081134	0.7098967	-0.30608606	0.03507535	-0.71793723	0.39572594	0.34909558	-0.08801201	-1.0365381	-0.5113093	0.9140229	-1.0630358	0.5583057	-1.5317726	0.57463384	1.3019408	1.3751458	-0.10582407	-0.63942546	-1.3653979	1.3366014	-1.4974614	2.117223	1.0443583	-0.26770794	-0.56765246	0.552864	7
Tatjana Kapus	-0.65593994	0.84167194	-0.82269007	-0.2146637	0.4282032	0.784588	1.718631	-0.2914836	0.14183159	0.6178091	-0.23840497	-0.2537339	-0.2210979	-1.1336385	0.39129058	0.8854557	-0.8396926	-0.34499723	0.12260529	-0.47716576	0.6822729	0.013982041	1.0784717	-0.7614677	-0.64322424	1.2201489	-0.9794351	0.7380301	0.8492341	-0.1832866	-0.42311478	1.2228779	1
Pero Šobot	-0.42808774	0.03345496	-0.41267604	0.46932396	0.5461329	-0.0098836385	1.7045859	-0.06277008	0.4603667	-0.33553737	0.1606199	0.15571979	0.48621145	0.24486366	0.13736212	0.44134408	0.83967996	-0.6154178	-0.8579052	0.7176139	0.43797538	0.6883531	0.35559747	-0.81472915	-0.043752193	0.48378187	-0.50613695	-0.21330906	0.5558072	-0.8335994	-0.28527048	1.1152599	5
Vladislav Rajkovič	-0.07830647	-0.23764983	-0.07910552	-0.3619915	-0.19680983	0.32266906	0.8413415	0.08554271	0.035493482	0.4375302	-0.21445188	-0.76816773	0.070391096	-0.28702053	-0.64827496	0.6197042	-0.543227	0.2893638	-0.046452846	0.302313	-0.24648064	0.15585908	0.5130427	0.2936053	0.12549202	-0.5137582	-0.77937394	0.041757096	0.7301545	-0.45623598	0.4556777	-0.28528586	7
Rudi Murn	-0.5121455	-0.47208154	-0.1952901	-0.092837445	0.4030997	-1.3960127	0.60519284	0.8815299	-0.09657308	-0.7200073	0.26720083	-0.34224665	-0.47169936	-0.21229509	-0.678315	0.6091749	0.07219397	-0.0074697644	-0.6279931	0.3722543	0.4665089	0.088057324	0.7430651	-0.7490212	-0.45080832	-0.96595204	-0.08790742	0.656451	0.6870761	-0.6752486	0.34662017	1.3089201	1
